k,i,avg_match,avg_time
3,1,5.12,0.0019273100000000004
3,2,7.04,0.0018210200000000002
3,3,7.77,0.00229282
4,1,10.24,0.0022417
4,2,13.64,0.00250952
4,3,15.29,0.005646230000000001
4,4,15.77,0.0031393200000000006
5,1,20.46,0.00246351
5,2,27.34,0.00422886
5,3,30.48,0.006805059999999998
5,4,31.54,0.005921490000000001
5,5,31.89,0.005543039999999999
6,1,40.17,0.00356487
6,2,53.98,0.00859289
6,3,60.48,0.01499274
6,4,63.03,0.016901740000000002
6,5,63.62,0.015097210000000002
6,6,63.86,0.01798564
7,1,80.77,0.007173120000000001
7,2,107.86,0.016576679999999996
7,3,120.96,0.04746492
7,4,125.47,0.04793042000000001
7,5,127.08,0.04963311000000001
7,6,127.61,0.047390809999999985
7,7,127.91,0.04777494999999999
8,1,161.67,0.01155218
8,2,214.65,0.03879082
8,3,241.07,0.17212873
8,4,250.62,0.16785656
8,5,254.32,0.15966729
8,6,255.38,0.14781085000000002
8,7,255.68,0.15048312
8,8,255.96,0.14979963
9,1,323.5,0.02229747
9,2,429.47,0.08802128999999999
9,3,480.83,0.63068558
9,4,501.48,0.61946853
9,5,508.42,0.58063108
9,6,510.62,0.5488804599999999
9,7,511.57,0.5285489
9,8,511.76,0.53279495
9,9,511.99,0.51922646
10,1,648.44,0.04535836000000001
10,2,859.46,0.22643427999999996
10,3,961.12,2.7567281999999995
10,4,1002.55,2.5081757
10,5,1016.8,2.2055594
10,6,1021.41,2.1159348999999996
10,7,1023.09,2.0348740000000003
10,8,1023.78,2.0492581
10,9,1023.81,2.1544162000000004
10,10,1023.99,2.1036472
